CN19,"China
大陸地區","Harbin Institute of Technology
哈爾濱工業大學",260,5/sem.,"全校大學部二年級以上及研究所學生
U-wide UG Yr.2 above & PG students",,,"非本國籍學生可，但須會中文；陸籍學生不得申請
Accepts international students with Chinese ability. Students from China cannot apply"
CN20,"China
大陸地區","Chongqing University
重慶大學",751-800,3/sem.,"全校大學部二年級以上及研究所學生
U-wide UG Yr.2 above & PG students",,,
CN21,"China
大陸地區","Zhejiang University
浙江大學",53,3/sem.,"全校大學部二年級以上及研究所學生
U-wide UG Yr.2 above & PG students",,,"非本地生不得申請
Non-local students cannot apply"
CN22,"China
大陸地區","Tsinghua University
清華大學",15,2,"全校大學部二年級以上及研究所學生
U-wide UG Yr.2 above & PG students",,,"非本國籍不得申請；MBA及畢業班級不接受交換(不接受畢業前一學期)
Non-local students cannot apply; MBA program and final-year classes are restricted"
CN23,"China
大陸地區","Fudan University
復旦大學",34,4,"全校大學部二年級以上及研究所學生
U-wide UG Yr.2 above & PG students",,,"僅限本地生申請
Only local students can apply
管理學院研究所及其他專業學位不開放申請
School of Management PG program and other professional degrees do not accept application"
CN24,"China
大陸地區","Huazhong University of Science & Technology
華中科技大學",400,3/sem.,"全校大學部二年級以上及研究所學生
U-wide UG Yr.2 above & PG students",,,"陸籍學生不得申請
Students from China cannot apply"
CN25,"China
大陸地區","Central China Normal University
華中師範大學",N/A,2/sem.,"人社院大學部二年級以上及研究所學生
UG Yr. 2 above & PG students in College of Humanities & Social Sciences",,,"可交換至外國語學院、教育學院、音樂學院、新聞傳播學院
1. 可接受大陸籍學生報名交換生，但是否錄取要看當年競爭情況。2. 不太建議應屆畢業生報名交換生項目，因從經驗來看，學生選課積極性不高，沒有充分發揮資源，選派非應屆畢業學生更加有益。"
CN26,"China
大陸地區","East China Normal University
華東師範大學",501-510,3/sem.,"全校大學部二年級以上及研究所學生
U-wide UG Yr.2 above & PG students",,平均分數Avg. Score: 80+,"至少在原學校修業滿一年者
Applicants should at least complete one academic year at home university"
,,,,,,,,參考網頁 Link
CN27,"China
大陸地區","South China University of Technology
華南理工大學",462,5/sem.,"全校大學部二年級以上及研究所學生
U-wide UG Yr.2 above & PG students",,,
CN28,"China
大陸地區","Xiamen University
廈門大學",432,10/sem.,"全校大學部二年級以上及研究所學生
U-wide UG Yr.2 above & PG students",,,MBA不接受交換；畢業前最後一學期不得交換；每學期2個名額可給陸籍學生交換 MBA program is restricted; Final semester students cannot apply; 2/sem. can be used by students from Mainland China
CN29,"China
大陸地區","University of Electronic Science & Technology of China
電子科技大學",701-750,5/sem.,"全校大學部二年級以上及研究所學生
U-wide UG Yr.2 above & PG students",,,
CN30,"China
大陸地區","Soochow University
蘇州大學",651-700,2/sem.,"資訊院大學部二年級以上及研究所學生
UG Yr.2 above & PG students of the College of Computer Science",,,"赴該校計算機科學與技術學院交換
Exchange to the School of Computer Science and Technology"
CN31,"China
大陸地區","Lanzhou University
蘭州大學",801-1000,5/sem.,"全校大學部二年級以上及研究所學生
U-wide UG Yr.2 above & PG students",,,
HK01,"Hong Kong
香港地區","The University of Hong Kong
香港大學",22,4 sem. slots,"外文系大學部學生
UG students of the Department of Foreign Languages",,,"研究生不得申請；交換至該校文學院
PG students cannot apply; Exchange to the Faculty of Arts"
,,,,TBA,"科法院碩士二年級以上學生
PG Yr.2 above students of the School of Law",iBT97/IELTS7 (no subtest lower than 6.5),平均分數Avg. Score: 80+,參考網頁 Link
,,,,,,,,Fact Sheet
HK02,"Hong Kong
香港地區","The Chinese University of Hong Kong
香港中文大學",43,2 sem. slots,"社文所及亞際學程學生
Students of the Graduate Institute for Social Research and Cultural Studies and Inter-Asia Cultural Studies",iBT71/IELTS6,平均分數Avg. Score: 80+,參考網頁 Link
,,,,,,,,Fact Sheet
,,,,,,,,"交換至該校 Exchange to the Department of Cultural and Religious Studies, Faculty of Arts
大學部學生欲申請赴此校交換者，請參考台聯大交換計畫 UG students interested in going to CUHK, please see UST exchange program"
HK03,"Hong Kong
香港地區","City University of Hong Kong
香港城市大學",48,5,"全校大學部二年級以上學生
U-wide UG yr.2 above students",iBT79/IELTS6.5/學測英文15級分,,參考網頁 Link
,,,,,,,,課程列表 Course List
,,,,,,,,Fact Sheet
,,,,,,,,Brochure
,,,,,,,,Off-campus Housing
,,,,,,,,"研究生不得申請 PG students cannot apply
不提供校內宿舍 No on-campus housing will be provided"
,,,,2 sem. slots,"傳科系大學部學生
UG students of the Department of Communication & Technology",,,交換至該校傳播系 Exchange to the Department of Media & Communications
HK04,"Hong Kong
香港地區","The Hong Kong University of Science & Technology
香港科技大學",27,4/sem.,"理學院及生科院大學部學生
UG students of the College of Science and College of Biological Science and Technology",,,參考網頁 Link
,,,,,,,,Academic Calendar
,,,,,,,,Info Sheet
,,,,,,,,Poster
,,,,,,,,研究生不得申請 PG students cannot apply
HK05,"Hong Kong
香港地區","Hong Kong Baptist University
香港浸會大學",264,2/sem.,"全校大學部二年級以上學生
U-wide UG yr.2 above students",iBT79/IELTS6,平均分數Avg. Score: 75+,參考網頁 Link
,,,,,,,,Fact Sheet
,,,,,,,,"研究生不得申請；畢業前最後一學期不可交換
PG students cannot apply; cannot exchange in last sem. of UG"
